time,omega,cmd
9.536743164062500000e-07,0.000000000000000000e+00,0.000000000000000000e+00
4.940867424011230469e-02,0.000000000000000000e+00,0.000000000000000000e+00
9.926414489746093750e-02,0.000000000000000000e+00,0.000000000000000000e+00
1.492440700531005859e-01,0.000000000000000000e+00,0.000000000000000000e+00
1.993176937103271484e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.494516372680664062e-01,0.000000000000000000e+00,0.000000000000000000e+00
2.994174957275390625e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.493146896362304688e-01,0.000000000000000000e+00,0.000000000000000000e+00
3.992569446563720703e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.492704868316650391e-01,0.000000000000000000e+00,0.000000000000000000e+00
4.994230270385742188e-01,0.000000000000000000e+00,0.000000000000000000e+00
5.493128299713134766e-01,0.000000000000000000e+00,5.000000000000000000e-01
5.993704795837402344e-01,0.000000000000000000e+00,5.000000000000000000e-01
6.492495536804199219e-01,2.144025318089716414e+00,5.000000000000000000e-01
6.994621753692626953e-01,7.682757389821484040e+00,5.000000000000000000e-01
7.493309974670410156e-01,1.578240859149374842e+01,5.000000000000000000e-01
7.993166446685791016e-01,2.519229748755417120e+01,5.000000000000000000e-01
8.492753505706787109e-01,3.537641774848032128e+01,5.000000000000000000e-01
8.993747234344482422e-01,4.389296276200336422e+01,5.000000000000000000e-01
9.493923187255859375e-01,4.961036361024260799e+01,5.000000000000000000e-01
9.993860721588134766e-01,5.330285165806378700e+01,5.000000000000000000e-01
1.049274444580078125e+00,5.568510201149680228e+01,5.000000000000000000e-01
1.099264621734619141e+00,5.753134603540739533e+01,5.000000000000000000e-01
1.149266958236694336e+00,5.919892128281050248e+01,5.000000000000000000e-01
1.199356555938720703e+00,6.039004645952701367e+01,5.000000000000000000e-01
1.249248027801513672e+00,6.134294660090021978e+01,5.000000000000000000e-01
1.299271583557128906e+00,6.217673422460178756e+01,5.000000000000000000e-01
1.349190473556518555e+00,6.283185307179585521e+01,5.000000000000000000e-01
1.399348258972167969e+00,6.324874688364663911e+01,5.000000000000000000e-01
1.449407339096069336e+00,6.384430947200488760e+01,5.000000000000000000e-01
1.499264478683471680e+00,6.378475321316906133e+01,5.000000000000000000e-01
1.549235105514526367e+00,6.384430947200489470e+01,5.000000000000000000e-01
1.599370479583740234e+00,6.372519695433324216e+01,5.000000000000000000e-01
1.649317026138305664e+00,6.390386573084072097e+01,5.000000000000000000e-01
1.699408292770385742e+00,6.372519695433324927e+01,5.000000000000000000e-01
1.749264717102050781e+00,6.420164702501983811e+01,5.000000000000000000e-01
1.799252033233642578e+00,6.438031580152730271e+01,5.000000000000000000e-01
1.849168777465820312e+00,6.467809709570644827e+01,5.000000000000000000e-01
1.899390935897827148e+00,6.449942831919896946e+01,5.000000000000000000e-01
1.949420928955078125e+00,6.461854083687062200e+01,5.000000000000000000e-01
1.999247312545776367e+00,6.402297824851237351e+01,5.000000000000000000e-01
2.049115180969238281e+00,6.378475321316907554e+01,5.000000000000000000e-01
2.099251508712768555e+00,6.378475321316907554e+01,5.000000000000000000e-01
2.149435043334960938e+00,6.402297824851237351e+01,5.000000000000000000e-01
2.199325561523437500e+00,6.378475321316906133e+01,5.000000000000000000e-01
2.249231576919555664e+00,6.402297824851235930e+01,5.000000000000000000e-01
2.299476146697998047e+00,6.402297824851235930e+01,5.000000000000000000e-01
2.349274158477783203e+00,6.396342198967653303e+01,5.000000000000000000e-01
2.399460077285766602e+00,6.348697191898993708e+01,5.000000000000000000e-01
2.449372529983520508e+00,6.366564069549740168e+01,5.000000000000000000e-01
2.499242067337036133e+00,6.348697191898993708e+01,5.000000000000000000e-01
2.549358129501342773e+00,6.336785940131828454e+01,5.000000000000000000e-01
2.599275350570678711e+00,6.342741566015411081e+01,5.000000000000000000e-01
2.649440765380859375e+00,6.378475321316906133e+01,5.000000000000000000e-01
2.699383258819580078e+00,6.372519695433324216e+01,5.000000000000000000e-01
2.749250888824462891e+00,6.378475321316906133e+01,5.000000000000000000e-01
2.799391269683837891e+00,6.408253450734818557e+01,5.000000000000000000e-01
2.849313497543334961e+00,6.408253450734818557e+01,5.000000000000000000e-01
2.899414777755737305e+00,6.408253450734818557e+01,5.000000000000000000e-01
2.949217319488525391e+00,6.408253450734818557e+01,5.000000000000000000e-01
2.999216079711914062e+00,6.420164702501983811e+01,5.000000000000000000e-01
3.049253702163696289e+00,6.420164702501983811e+01,5.000000000000000000e-01
3.099374055862426758e+00,5.133749511648153430e+01,-5.000000000000000000e-01
3.149413347244262695e+00,6.426120328385566438e+01,-5.000000000000000000e-01
3.199258327484130859e+00,5.818646488260147009e+01,-5.000000000000000000e-01
3.249269008636474609e+00,4.460763786803327235e+01,-5.000000000000000000e-01
3.299263000488281250e+00,2.817011042934544207e+01,5.000000000000000000e-01
3.349379777908325195e+00,2.197625951041959524e+01,5.000000000000000000e-01
3.399329185485839844e+00,-7.087194801463229332e+00,5.000000000000000000e-01
3.449210166931152344e+00,-1.143480169647848754e+01,5.000000000000000000e-01
3.499247789382934570e+00,-4.824056965701863042e+00,5.000000000000000000e-01
3.549271821975708008e+00,6.610744730776621836e+00,5.000000000000000000e-01
3.599427223205566406e+00,2.203581576925541796e+01,5.000000000000000000e-01
3.649360418319702148e+00,3.543597400731614755e+01,-5.000000000000000000e-01
3.699270725250244141e+00,4.329740017364510862e+01,-5.000000000000000000e-01
3.749270915985107422e+00,4.210627499692860454e+01,-5.000000000000000000e-01
3.799479722976684570e+00,3.335150494806225652e+01,-5.000000000000000000e-01
3.849307537078857422e+00,2.007045922767317947e+01,5.000000000000000000e-01
3.899260759353637695e+00,3.871156824328654267e+00,5.000000000000000000e-01
3.949205160140991211e+00,-9.945895225582850330e+00,5.000000000000000000e-01
3.999205350875854492e+00,-1.262592687319499696e+01,5.000000000000000000e-01
4.049423694610595703e+00,-5.598288330567594784e+00,5.000000000000000000e-01
4.099249601364135742e+00,6.908526024955753186e+00,5.000000000000000000e-01
4.149130582809448242e+00,2.245270958110619830e+01,5.000000000000000000e-01
4.199164628982543945e+00,3.585286781916693144e+01,-5.000000000000000000e-01
4.249217033386230469e+00,4.454808160919744608e+01,-5.000000000000000000e-01
4.299354553222656250e+00,4.365473772666005914e+01,-5.000000000000000000e-01
4.349267244338989258e+00,3.424484883059963636e+01,-5.000000000000000000e-01
4.399329423904418945e+00,2.114247188671803812e+01,5.000000000000000000e-01
4.449228286743164062e+00,5.121838259880990840e+00,5.000000000000000000e-01
4.499341487884521484e+00,-8.873882566537993455e+00,5.000000000000000000e-01
4.549307107925415039e+00,-1.208992054367256586e+01,5.000000000000000000e-01
4.599248170852661133e+00,-4.883613224537687536e+00,5.000000000000000000e-01
4.649206638336181641e+00,6.729857248448276152e+00,5.000000000000000000e-01
4.699185132980346680e+00,2.209537202809124068e+01,5.000000000000000000e-01
4.749346494674682617e+00,3.543597400731614755e+01,-5.000000000000000000e-01
4.799445867538452148e+00,4.436941283268996017e+01,-5.000000000000000000e-01
4.849331378936767578e+00,4.347606895015258033e+01,-5.000000000000000000e-01
4.899421930313110352e+00,3.454263012477876060e+01,-5.000000000000000000e-01
4.949312686920166016e+00,2.114247188671803457e+01,5.000000000000000000e-01
